"食物
（每100克）","能量
（kal）","蛋白质
（克）","糖类
（克）","脂肪
（克）","水分
（克）","纤维
（克）","灰份
（克）","VA
（微克）","胡萝卜素
（微克）","视黄醇当量
（微克）","VB1
（毫克）","VB2
（毫克）","烟酸
（毫克）","VC
（毫克）","VE
（毫克）","钾
（毫克）","钠
（毫克）","钙
（毫克）","镁
（毫克）","铁
（毫克）","锰
（毫克）","锌
（毫克）","铜
（毫克）","磷
（毫克）","硒
（微克）"
VC啤酒,34,0.3,0,0,0,0,0.1,0,0,0,0,0.01,0,0,0,75,25,0,0,0,0,0.25,0,0,0
艾菜,21,1.9,2.7,0.3,93,1.2,0.9,0,1510,252,0.04,0.09,0.6,18,0.92,220,161.3,73,20,2.5,0.28,0.35,0.06,36,0.6
艾窝窝,190,4.3,43.1,0,52.1,0.29,0.2,0,0,0,0.02,0.04,0.6,0,0.19,53,1.7,19,13,0.5,0.35,0.32,0.76,34,1.55
鹌鹑,110,20.2,0.2,3.1,75.1,0,1.4,40,0,40,0.04,0.32,6.3,0,0.44,204,48.4,48,20,2.3,0.08,1.19,0.1,179,11.67
鹌鹑蛋,160,12.8,2.1,11.1,73,0,1,337,0,337,0.11,0.49,0.1,0,3.08,138,106.6,47,11,3.2,0.04,0.61,0.09,180,25.48
鹌鹑蛋(熟),160,12.8,2.1,11.1,73,0,1,337,0,337,0.11,0.49,0.1,0,3.08,138,106.6,47,11,3.2,0.04,0.61,0.09,180,25.48
鹌鹑蛋(五香罐头),152,11.6,0,11.7,74.4,0,2.3,98,0,98,0.01,0.06,0.3,0,5.34,41,711.5,157,8,2.6,0.03,1.43,0.13,209,11.6
鹌鹑蛋黄,160,12.8,2.1,11.1,73,0,1,337,0,337,0.11,0.49,0.1,0,3.08,138,106.6,47,11,3.2,0.04,0.61,0.09,180,25.48
螯虾,93,14.8,0,3.8,80.1,0,1.3,0,0,1,0.02,0.18,2.7,0,4.31,550,225.2,85,2,6.4,3.25,1.45,1.07,228,7.9
螯鱼,82,20.2,0,0.9,79.3,0,1.3,33,0,33,0.01,0.05,3,0,0,357,54.8,21,18,1.1,0.07,0.81,0.05,228,51.09
八宝菜（酱）,72,4.6,10.2,1.4,72.3,3.2,8.3,0,0,0,0.17,0.03,0.2,0,1.11,109,2843.2,110,38,4.8,0.5,0.53,0.18,77,2.2
八角,195,3.8,32.4,5.6,11.8,43,3.4,0,40,7,0.12,0.28,0.9,0,1.11,202,14.7,41,68,6.3,7.42,0.62,0.63,64,3.08
八角鱼,135,18.9,14,0.4,65.4,0,1.3,0,0,0,0.04,0.06,5.4,0,1.34,447,65.4,21,50,0.6,0,0.68,0.24,63,27.3
八爪鱼,135,18.9,14,0.4,65.4,0,1.3,0,0,0,0.04,0.06,5.4,0,1.34,447,65.4,21,50,0.6,0,0.68,0.24,63,27.3
巴鱼,122,21.2,2.2,3.1,72.5,0,1.1,19,0,19,0.03,0.04,2.1,0,0.71,370,74.2,35,50,0.8,0.03,1.39,0.37,130,51.81
扒鸡,215,29.6,0,11,56.5,0,3.4,32,0,32,0.02,0.17,9.2,0,0,149,1000.7,31,24,2.9,0.01,3.23,0.05,157,8.1
芭蕉,109,1.2,25.8,0.1,68.9,3.1,0.9,0,0,0,0.02,0.02,0.6,0,0,330,1.3,6,29,0.3,0.78,0.16,0.1,18,0.81
鲅鱼,122,21.2,2.2,3.1,72.5,0,1.1,19,0,19,0.03,0.04,2.1,0,0.71,370,74.2,35,50,0.8,0.03,1.39,0.37,130,51.81
鲅鱼(咸),157,23.3,12.4,1.6,52.8,0,9.9,0,0,0,0.04,0,2.7,0,4.6,298,5350,0,0,6.2,0,2.23,0.1,228,28.3
白斑角鲨,110,22.2,0,3.2,75.1,0,1.3,21,0,21,0.01,0.05,3.1,0,0.58,285,102.2,41,30,0.9,0.03,0.73,0.06,212,57.02
白菜,15,1.5,1.6,0.3,94.5,1.1,1,0,1680,280,0.02,0.09,0.7,28,0.7,178,73.5,90,18,1.9,0.27,0.51,0.08,36,1.17
白菜（脱水）,286,6.2,63.51,0.8,10,9.4,10.1,0,0,0,0.24,0,4.8,187,0,2269,492.5,908,219,13.8,2.65,4.68,0.87,485,6.33
白带鱼,127,17.7,3.1,4.9,73.3,0,1,29,0,29,0.02,0.06,2.8,0,0.82,280,150.1,28,43,1.2,0.17,0.7,0.08,191,36.57
白地果,94,4.6,18.5,0.2,73.6,1.4,1.7,0,0,0,0.14,0.07,1.6,4,2.16,707,39.1,14,24,2.2,0.39,0.99,0.22,0.22,0.92
白姑鱼,150,19.1,0,8.2,71.5,0,1.3,0,0,0,0.02,0.08,3.3,0,1.49,382,152.7,23,28,0.3,0.02,0.84,0.04,171,21
白瓜,18,0.6,3.5,0.2,95,0.4,0.3,0,20,3,0.02,0.01,0.2,12,0.03,136,1.6,20,15,0.5,0.03,0.1,0.03,14,0.63
白瓜,10,0.9,1.7,0,96.2,0.9,0.3,0,0,0,0.02,0.04,0.1,16,0.2,70,1,6,8,0.1,0.11,0.04,0.01,11,1.1
白瓜子,574,36,3.8,46.1,4.1,4.1,5.9,0,0,0,0.08,0.16,3.3,0,27.28,672,15.8,37,376,6.5,3.85,7.12,1.44,0,27.03
白果,355,13.2,72.6,1.3,9.9,0,3,0,0,0,0,0,0,0,0.73,17,17.5,54,0,0.2,2.03,0.69,0.45,23,14.5
白果（干）,355,13.2,72.6,1.3,9.9,0,3,0,0,0,0,0.1,0,0,24.7,17,17.5,54,0,0.2,2.03,0.69,0.45,23,14.5
白鲩,112,16.6,0,5.2,77.3,0,1.1,11,0,11,0.04,0.11,2.8,0,2.03,312,46,38,31,0.8,0.05,0.87,0.05,203,6.66
白金瓜,24,0.4,5.7,0,93,0.5,0.4,0,100,17,0.05,0.08,0.7,17,0,182,1.6,12,10,0.4,0,0.26,0.08,13,0.37
白兰瓜,21,0.6,4.5,0.1,93.2,0.8,0.8,0,40,7,0.02,0.03,0.6,14,0,0,0,0,0,0,0,0,0,0,0
白鲢,102,17.8,0,3.6,77.8,0,1.2,20,0,20,0.03,0.07,2.5,0,1.23,277,57.5,53,23,1.4,0.09,1.17,0.06,190,15.68
白露虾,90,18.5,3,0.4,76.4,0,1.7,12,0,79,0.03,0.06,3.1,0,3.52,386,208.8,36,47,2.9,0.12,1.55,0.62,241,9.11
白米虾,81,17.3,2,0.4,77.3,0,3,54,0,54,0.05,0.03,0,0,3.34,255,90.7,403,26,2.1,0.25,2.03,0.99,267,0
白米子(鱼),150,19.1,0,8.2,71.5,0,1.3,0,0,0,0.02,0.08,3.3,0,1.49,382,152.7,23,28,0.3,0.02,0.84,0.04,171,21
白蘑,242,38.7,14.4,3.3,9.2,17.2,17.2,0,0,0,0.07,0.08,44.3,0,8.57,3106,5.2,169,167,19.4,5.96,9.04,5.88,1655,0
白木耳,200,10,36.9,1.4,14.6,30.4,6.7,0,50,8,0.05,0.25,5.3,0,1.26,1588,82.1,36,54,4.1,0.17,3.03,0.08,369,2.59
白葡萄酒,58,0,0,0,0,0,0.1,0,0,0,0,0.04,0,0,0,23,0.4,13,2,0,0,0.02,0.11,3,0
白葡萄酒(10.4度),65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0.2,0.01,0.04,0,0,0.15
白葡萄酒(11度),80,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,71,0,0,0,2,0,0,0.05,0,0
白砂糖,400,0,99.9,0,0,0,0.1,0,0,0,0,0,0,0,0,5,0.4,20,3,0.6,0.09,0.06,0.04,8,0
白薯干,340,4.7,78.5,0.8,12.1,2,1.9,0,150,25,0.15,0.11,1.1,9,0.38,353,26.4,112,102,3.7,1.14,0.99,5,115,2.64
白水羊头,193,22.4,1.2,11,61.9,0,3.5,13,0,13,0,0.28,1.4,0,0.87,32,899.4,41,11,5.4,0.2,1.5,0.12,110,11.18
白糖,396,0.1,98.9,0,0.9,0,0.1,0,0,0,0,0,0.2,0,0,2,2,6,2,0.2,0.08,0.07,0.02,3,0.38
白脱(食用工业),742,0,0,82.7,17.7,0,0.1,534,0,534,0.01,0.06,0.1,0,3.71,43,18,1,2,1,0.02,0.8,0.02,14,0.56
白眼棱鱼,118,18.9,0,4.8,75.3,0,1.1,0,0,0,0.02,0.13,2.3,0,3.34,245,71.4,19,25,0.5,0.02,0.82,0.03,183,16.8
白芷,324,8.9,68.8,1.5,11.9,5.3,3.6,0,0,0,0.35,0.54,1,1,1.93,100,27.4,3,19,4.4,0.73,0.8,0.63,118,3.4
百合,162,3.2,37.1,0.1,56.7,1.7,1.2,0,0,0,0.02,0.04,0.7,18,0,510,6.7,11,0,1,0.35,0.5,0.24,61,0.2
百合（干）,342,6.7,77.8,0.5,10.3,1.7,3,0,0,0,0.05,0.09,0.9,0,0,344,37.3,32,42,5.9,0.59,1.31,1.09,92,2.29
百合（脱水）,343,8.1,77.4,0.1,9.9,1.7,2.8,0,0,0,0,0.02,1.1,7,0,492,69.8,29,43,5,0.55,1.25,1.7,72,3.08
百页,260,24.5,4.5,16,52,1,2,0,30,5,0.04,0.05,0.2,0,23.38,94,20.6,313,80,6.4,1.96,2.52,0.46,309,1.75
摆佳鱼,100,15.3,4.7,2.2,76.5,0,1.3,34,0,34,0.04,0.11,2.8,0,2.65,229,60.6,82,26,0.8,0.08,0.76,0.07,180,19.47
斑节对虾,103,18.6,5.4,0.8,73.6,0,1.6,15,0,81,0,0,2.4,0,1.64,363,168.8,59,63,2,0.22,1.78,1.48,275,28.39
斑鸠肉,171,21.4,2.2,8.5,66.8,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
板蕉,109,1.2,25.8,0.1,68.9,3.1,0.9,0,0,0,0.02,0.02,0.6,0,0,330,1.3,6,29,0.3,0.78,0.16,0.1,18,0.81
板粟,185,4.2,40.5,0.7,52,1.7,0.9,0,190,32,0.14,0.17,0.8,24,4.56,442,13.9,17,50,1.1,1.53,0.57,0.4,89,1.13
板油酥饼,362,7.6,19.4,14.9,27.4,0,0.7,40,0,40,0.11,0.15,0.6,0,2.21,102,324,14,14,2.2,0,0.63,0.13,71,0
蚌肉,71,15,0.8,0.9,80.8,0,2.5,283,0,283,0.01,0.22,0.4,0,0,6,6.1,190,22,50,82.5,8.5,0.15,300,0
棒瓜,16,1.2,2.6,0.1,94.3,1.2,0.6,0,20,3,0.01,0.1,0.1,8,0,76,1,17,10,0.1,0.03,0.08,0.02,18,1.45
宝宝福,390,0.2,97.3,0,2.1,0,0.4,0,0,0,0.13,1.19,0.2,31,0,96,22.6,29,10,12.6,0.1,0.11,0.03,5,0
鲍鱼,84,12.6,6.6,0.8,77.5,0,2.5,24,0,24,0.01,0.16,0.2,2.2,0.44,136,2011.7,266,59,22.6,0.4,1.75,0.72,77,21.38
鲍鱼(干),322,54.1,13.7,5.6,18.3,0,8.3,28,0,28,0.02,0.13,7.2,0.85,0.85,366,2316.2,143,352,6.8,0.32,1.68,0.45,251,66.6
北京烤鸭,436,16.6,6,38.4,38.2,0,0.8,36,0,36,0.04,0.32,4.5,0,0.97,247,83,35,13,2.4,0,1.25,0.12,175,10.32
北京啤酒,35,0.4,0,0,0,0,0.1,0,0,0,0.2,0.01,0,0,0,25,2.6,0,1,0,0,0,0,7,0
北京特制啤酒(6度),15,0,0,0,0,0,0.1,0,0,0,0.27,0.07,0,0,0,21,2.6,6,8,0,0,0,0.03,13,0
荸荠(地粟、马蹄),59,1.2,13.1,0.2,83.6,1.1,0.8,0,20,3,0.02,0.02,0.7,7,0.65,306,15.7,4,12,0.6,0.11,0.34,0.07,44,0.7
比目鱼,107,21.1,0.5,2.3,74.6,0,1.5,117,0,117,0.03,0.04,1.5,0,2.35,264,150.4,107,32,0.4,0.11,0.92,0.06,135,29.45
比目鱼,105,20.8,0,3.2,75.9,0,1.9,0,0,0,0.11,0,4.5,0,0.5,317,66.7,55,55,1,0.04,0.53,0.02,178,36.97
碧绿酒(41.0度),239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.3,5,2,0,0,0.03,0,0,0
边鱼,124,18.5,4.8,3.4,72,0,1.3,1,0,1,0.06,0.11,3.6,0,0.49,215,81.6,55,30,1.8,0.05,0.85,0.11,191,24.89
鳊鱼,135,18.3,1.2,6.3,73.1,0,1.1,28,0,28,0.02,0.07,1.7,0,0.52,215,41.1,89,17,0.7,0.05,0.89,0.07,188,11.59
